Race,Gender,Age,Education,Party,Vote,Ideology,Income,Union,Athlete,Friend of Athlete,Region,Support for NCAA Athletes,Support for NCAA Administrators,Racial Resentment Score,Linked Fate Score,Treatment Group,Payment Score,Protest Score,Pandemic Score,Violation Response,Suspension Response,Draft Response,Compensation Response,Social Image Response,Pandemic Response,LF,RR
WHITE,FEMALE,FORTIES,HS_GED,IND,YES,LIB,0 - 24k,NO,X,NO,SOUTHWEST,NEITHER,NEITHER,0,0,Linked Fate Treatment Group,-1,0,1,Y,N,Y,Y,Y,N,MID,MID
ND,FEMALE,THIRTIES,BACH,IND,YES,MOD,51k - 100k,NO,X,NO,WESTCOAST,NEITHER,NEITHER,6,6,Retail Control Group,-1,2,3,X,X,X,X,X,X,HIGH,LOW
WHITE,MALE,THIRTIES,PROF,IND,YES,LIB,51k - 100k,NO,X,YES,NORTHEAST,NEITHER,NEITHER,3,-1,Linked Fate Treatment Group,-1,3,3,Y,N,Y,N,Y,N,LOW,MID
ASIAN,FEMALE,THIRTIES,PROF,DEM,YES,LIB,301k - 500k,NO,X,NO,WESTCOAST,NEITHER,NEITHER,1,5,Linked Fate Treatment Group,1,4,2,Y,Y,Y,Y,N,N,MID,MID
ASIAN,MALE,TWENTIES,BACH,DEM,YES,LIB,0 - 24k,NO,X,NO,SOUTHWEST,NEITHER,NEITHER,4,3,Racial Resentment Treatment Group,0,2,2,Y,Y,N,N,Y,N,MID,MID
WHITE,FEMALE,SIXTIES,BACH,DEM,YES,LIB,51k - 100k,NO,X,NO,MIDWEST,NEITHER,NEITHER,0,7,Race Neutral Control Group,0,3,0,X,N,N,X,X,X,HIGH,MID
WHITE,FEMALE,THIRTIES,BACH,IND,YES,MOD,51k - 100k,NO,X,NO,SOUTHEAST,NEITHER,NEITHER,-5,1,Race Neutral Control Group,-1,0,-2,Y,N,Y,X,X,X,MID,HIGH
MIXED,OTHER,TWENTIES,HS_GED,IND,YES,LIB,0 - 24k,NO,X,NO,MIDATLANTIC,NEITHER,NEITHER,2,5,Linked Fate Treatment Group,1,3,3,N,Y,N,Y,N,N,MID,MID
WHITE,FEMALE,TWENTIES,ASSOC,IND,YES,MOD,25k - 50k,NO,X,NO,NORTHEAST,NEITHER,NEITHER,3,2,Retail Control Group,0,0,2,X,X,X,X,X,X,MID,MID
WHITE,FEMALE,FIFTIES,ASSOC,REP,YES,MOD,0 - 24k,NO,X,NO,MIDWEST,NEITHER,NEITHER,-2,3,Retail Control Group,-3,1,0,X,X,X,X,X,X,MID,HIGH
ASIAN,FEMALE,TWENTIES,HS_GED,DEM,YES,LIB,51k - 100k,NO,X,NO,NORTHWEST,NEITHER,NEITHER,5,7,Linked Fate Treatment Group,2,4,3,Y,Y,Y,Y,N,N,HIGH,MID
WHITE,FEMALE,THIRTIES,SOME_COLL,IND,YES,MOD,25k - 50k,NO,X,NO,SOUTHEAST,NEITHER,NEITHER,5,7,Racial Resentment Treatment Group,2,4,3,N,N,N,Y,Y,N,HIGH,MID
ASIAN,FEMALE,TWENTIES,BACH,IND,YES,MOD,51k - 100k,NO,X,NO,NORTHEAST,NEITHER,NEITHER,3,5,Racial Resentment Treatment Group,-1,0,2,Y,N,N,N,Y,N,MID,MID
WHITE,MALE,THIRTIES,BACH,REP,YES,CON,0 - 24k,NO,X,NO,WESTCOAST,NEITHER,NEITHER,-2,-1,Race Neutral Control Group,-3,0,-2,Y,Y,N,X,X,X,LOW,HIGH
WHITE,MALE,TEENS,SOME_COLL,DEM,YES,LIB,25k - 50k,NO,X,NO,MIDWEST,NEITHER,NEITHER,3,1,Racial Resentment Treatment Group,0,2,0,Y,N,Y,N,N,N,MID,MID
MIXED,FEMALE,TWENTIES,BACH,DEM,YES,LIB,0 - 24k,NO,X,NO,SOUTHWEST,SUPPORT,S_OPPOSE,4,4,Racial Resentment Treatment Group,0,4,3,Y,N,N,N,Y,N,MID,MID
BLACK,MALE,THIRTIES,ASSOC,DEM,YES,LIB,25k - 50k,NO,X,YES,NORTHEAST,S_SUPPORT,SUPPORT,6,5,Retail Control Group,1,3,3,X,X,X,X,X,X,MID,LOW
ASIAN,MALE,TWENTIES,SOME_COLL,DEM,YES,LIB,25k - 50k,NO,X,NO,WESTCOAST,NEITHER,S_OPPOSE,4,7,Retail Control Group,0,4,3,X,X,X,X,X,X,HIGH,MID
WHITE,MALE,THIRTIES,BACH,REP,YES,CON,25k - 50k,NO,X,NO,MIDATLANTIC,NEITHER,NEITHER,4,2,Racial Resentment Treatment Group,-1,-2,2,Y,N,N,N,N,N,MID,MID
WHITE,FEMALE,FORTIES,BACH,DEM,YES,MOD,51k - 100k,NO,X,NO,SOUTHEAST,S_SUPPORT,SUPPORT,8,3,Race Neutral Control Group,2,0,1,Y,Y,N,X,X,X,MID,LOW
WHITE,X,TWENTIES,MAST,DEM,NO,LIB,25k - 50k,NO,X,NO,MIDWEST,NEITHER,NEITHER,0,0,Racial Resentment Treatment Group,-3,0,3,Y,Y,Y,Y,N,N,MID,MID
