Race,Gender,Age,Education,Party,Vote,Ideology,Income,Union,Athlete,Friend of Athlete,Region,Support for NCAA Athletes,Support for NCAA Administrators,Racial Resentment Score,Linked Fate Score,Treatment Group,Payment Score,Protest Score,Pandemic Score,Violation Response,Suspension Response,Draft Response,Compensation Response,Social Image Response,Pandemic Response,LF,RR
WHITE,FEMALE,FIFTIES,PROF,DEM,YES,LIB,0 - 24k,YES,X,NO,MIDWEST,SUPPORT,SUPPORT,4,3,Retail Control Group,-3,2,2,X,X,X,X,X,X,MID,MID
ASIAN,MALE,FORTIES,BACH,IND,YES,MOD,0 - 24k,NO,X,NO,WESTCOAST,NEITHER,NEITHER,0,0,Retail Control Group,1,0,-1,X,X,X,X,X,X,MID,MID
ASIAN,X,TWENTIES,BACH,IND,YES,MOD,51k - 100k,NO,X,NO,WESTCOAST,NEITHER,NEITHER,-2,0,Linked Fate Treatment Group,-2,2,0,Y,Y,N,Y,Y,N,MID,HIGH
WHITE,MALE,FORTIES,ASSOC,IND,YES,CON,51k - 100k,NO,X,NO,SOUTHEAST,S_SUPPORT,SUPPORT,4,1,Racial Resentment Treatment Group,-1,1,-2,Y,Y,N,Y,N,N,MID,MID
WHITE,MALE,SIXTIES,SOME_COLL,REP,YES,CON,0 - 24k,NO,X,NO,MIDWEST,SUPPORT,S_SUPPORT,-4,6,Linked Fate Treatment Group,-3,4,3,Y,Y,N,Y,N,N,HIGH,HIGH
ND,MALE,TWENTIES,BACH,DEM,YES,LIB,25k - 50k,NO,X,NO,WESTCOAST,NEITHER,NEITHER,0,3,Linked Fate Treatment Group,1,1,1,Y,Y,Y,Y,N,N,MID,MID
WHITE,MALE,THIRTIES,SOME_COLL,DEM,YES,LIB,51k - 100k,NO,X,NO,MIDATLANTIC,SUPPORT,SUPPORT,4,5,Race Neutral Control Group,-3,3,2,X,N,N,X,X,X,MID,MID
MIXED,OTHER,TEENS,HS_GED,IND,YES,LIB,0 - 24k,NO,X,NO,NORTHEAST,NEITHER,NEITHER,6,7,Racial Resentment Treatment Group,2,4,3,X,N,X,N,Y,N,HIGH,LOW
WHITE,MALE,TWENTIES,SOME_COLL,DEM,YES,LIB,301k - 500k,NO,X,NO,MIDWEST,SUPPORT,NEITHER,4,7,Race Neutral Control Group,1,3,3,N,N,N,X,X,X,HIGH,MID
WHITE,MALE,THIRTIES,BACH,DEM,YES,LIB,0 - 24k,NO,X,NO,MIDWEST,OPPOSE,S_OPPOSE,-3,6,Linked Fate Treatment Group,-2,4,2,Y,Y,N,N,N,N,HIGH,HIGH
HISP_LAT,FEMALE,TWENTIES,BACH,DEM,YES,LIB,51k - 100k,NO,X,NO,SOUTHWEST,NEITHER,NEITHER,0,6,Race Neutral Control Group,1,4,3,Y,Y,N,X,X,X,HIGH,MID
BLACK,MALE,TWENTIES,SOME_COLL,DEM,YES,MOD,0 - 24k,NO,X,YES,NORTHEAST,NEITHER,NEITHER,1,2,Race Neutral Control Group,-1,1,1,N,N,N,X,X,X,MID,MID
ASIAN,MALE,SIXTIES,MAST,REP,YES,CON,51k - 100k,NO,X,NO,WESTCOAST,SUPPORT,NEITHER,3,-1,Linked Fate Treatment Group,-3,-4,-3,Y,Y,Y,Y,N,Y,LOW,MID
WHITE,MALE,FORTIES,ASSOC,REP,YES,CON,51k - 100k,YES,X,NO,MIDWEST,NEITHER,NEITHER,5,0,Linked Fate Treatment Group,-3,2,-1,Y,Y,N,Y,N,N,MID,MID
WHITE,FEMALE,FORTIES,MAST,DEM,YES,LIB,25k - 50k,NO,X,YES,SOUTHEAST,S_SUPPORT,NEITHER,4,6,Race Neutral Control Group,1,1,1,X,X,N,X,X,X,HIGH,MID
MIXED,FEMALE,TWENTIES,SOME_COLL,DEM,YES,LIB,0 - 24k,NO,X,NO,MIDWEST,NEITHER,NEITHER,6,7,Racial Resentment Treatment Group,0,2,2,Y,N,N,Y,Y,N,HIGH,LOW
MIXED,MALE,TWENTIES,BACH,IND,YES,LIB,0 - 24k,NO,X,NO,NORTHWEST,NEITHER,NEITHER,1,3,Race Neutral Control Group,1,2,3,Y,Y,N,X,X,X,MID,MID
BLACK,FEMALE,FORTIES,ASSOC,DEM,YES,LIB,0 - 24k,NO,X,NO,NORTHEAST,NEITHER,NEITHER,0,6,Retail Control Group,3,4,3,X,X,X,X,X,X,HIGH,MID
BLACK,MALE,THIRTIES,BACH,DEM,YES,LIB,51k - 100k,NO,X,NO,WESTCOAST,S_SUPPORT,OPPOSE,2,4,Retail Control Group,1,2,3,X,X,X,X,X,X,MID,MID
WHITE,MALE,TWENTIES,BACH,DEM,YES,MOD,51k - 100k,NO,X,NO,NORTHEAST,SUPPORT,SUPPORT,0,4,Retail Control Group,1,3,2,X,X,X,X,X,X,MID,MID
WHITE,FEMALE,THIRTIES,MAST,IND,YES,LIB,51k - 100k,YES,X,YES,NORTHEAST,S_SUPPORT,SUPPORT,4,-1,Racial Resentment Treatment Group,0,1,2,N,N,N,N,Y,N,LOW,MID
WHITE,MALE,THIRTIES,BACH,DEM,YES,LIB,25k - 50k,NO,X,NO,MIDWEST,SUPPORT,S_OPPOSE,5,4,Linked Fate Treatment Group,0,4,3,Y,Y,N,N,N,N,MID,MID
BLACK,MALE,TWENTIES,ASSOC,IND,YES,MOD,0 - 24k,NO,X,NO,NORTHEAST,NEITHER,NEITHER,3,7,Retail Control Group,1,3,3,X,X,X,X,X,X,HIGH,MID
HISP_LAT,FEMALE,TWENTIES,BACH,IND,YES,LIB,51k - 100k,NO,X,NO,NORTHWEST,NEITHER,SUPPORT,5,4,Retail Control Group,1,3,2,X,X,X,X,X,X,MID,MID
HISP_LAT,MALE,TWENTIES,ASSOC,DEM,YES,LIB,51k - 100k,NO,X,NO,MIDATLANTIC,SUPPORT,NEITHER,4,3,Race Neutral Control Group,3,4,3,Y,Y,N,X,X,X,MID,MID
ASIAN,MALE,TWENTIES,SOME_COLL,DEM,YES,LIB,51k - 100k,NO,X,NO,WESTCOAST,S_SUPPORT,S_OPPOSE,4,3,Retail Control Group,1,3,2,X,X,X,X,X,X,MID,MID
WHITE,MALE,FIFTIES,ASSOC,IND,YES,MOD,25k - 50k,NO,X,NO,SOUTHWEST,S_SUPPORT,SUPPORT,4,2,Linked Fate Treatment Group,-3,0,-3,Y,Y,N,Y,N,N,MID,MID
WHITE,MALE,FIFTIES,SOME_COLL,IND,NO,CON,0 - 24k,NO,X,NO,MIDATLANTIC,SUPPORT,SUPPORT,0,-1,Retail Control Group,-3,-2,2,X,X,X,X,X,X,LOW,MID
WHITE,FEMALE,FORTIES,SOME_COLL,IND,YES,MOD,301k - 500k,NO,X,NO,SOUTHWEST,NEITHER,NEITHER,0,1,Retail Control Group,-1,1,2,X,X,X,X,X,X,MID,MID
ASIAN,FEMALE,TWENTIES,SOME_COLL,DEM,YES,LIB,51k - 100k,NO,X,NO,WESTCOAST,SUPPORT,NEITHER,6,7,Linked Fate Treatment Group,0,4,2,Y,Y,Y,N,N,N,HIGH,LOW
WHITE,MALE,FORTIES,HS_GED,IND,YES,MOD,51k - 100k,NO,X,NO,SOUTHEAST,NEITHER,OPPOSE,6,4,Racial Resentment Treatment Group,-1,4,3,N,N,N,N,Y,N,MID,LOW
WHITE,MALE,FORTIES,SOME_COLL,IND,YES,MOD,51k - 100k,NO,X,NO,MIDWEST,NEITHER,NEITHER,0,4,Racial Resentment Treatment Group,2,4,3,Y,Y,Y,Y,N,N,MID,MID
WHITE,MALE,FIFTIES,PROF,REP,YES,MOD,51k - 100k,YES,X,NO,SOUTHWEST,SUPPORT,SUPPORT,3,5,Racial Resentment Treatment Group,2,2,-1,Y,Y,N,Y,Y,Y,MID,MID
WHITE,FEMALE,FORTIES,ASSOC,REP,YES,CON,25k - 50k,NO,X,NO,NORTHWEST,OPPOSE,OPPOSE,0,1,Linked Fate Treatment Group,-1,-1,2,Y,Y,Y,Y,N,Y,MID,MID
ASIAN,FEMALE,THIRTIES,BACH,DEM,YES,LIB,51k - 100k,NO,X,NO,WESTCOAST,SUPPORT,SUPPORT,-2,4,Racial Resentment Treatment Group,-2,3,3,Y,Y,Y,Y,N,N,MID,HIGH
HISP_LAT,FEMALE,TWENTIES,HS_GED,REP,YES,CON,51k - 100k,NO,X,NO,SOUTHEAST,NEITHER,NEITHER,5,0,Retail Control Group,-1,0,1,X,X,X,X,X,X,MID,MID
WHITE,MALE,THIRTIES,MAST,DEM,YES,LIB,51k - 100k,YES,X,NO,NORTHEAST,S_SUPPORT,S_SUPPORT,6,0,Linked Fate Treatment Group,0,1,3,Y,N,N,N,Y,N,MID,LOW
WHITE,MALE,THIRTIES,SOME_HS,IND,YES,LIB,0 - 24k,NO,X,NO,MIDWEST,NEITHER,NEITHER,4,4,Racial Resentment Treatment Group,1,4,-2,Y,N,Y,N,Y,N,MID,MID
WHITE,MALE,THIRTIES,BACH,DEM,YES,LIB,25k - 50k,NO,X,NO,WESTCOAST,NEITHER,NEITHER,4,5,Linked Fate Treatment Group,0,4,2,Y,N,N,N,Y,N,MID,MID
WHITE,MALE,TWENTIES,BACH,IND,YES,MOD,25k - 50k,NO,X,NO,SOUTHWEST,NEITHER,SUPPORT,5,0,Racial Resentment Treatment Group,1,0,0,N,N,N,N,N,N,MID,MID
WHITE,MALE,TWENTIES,BACH,IND,YES,MOD,51k - 100k,YES,X,NO,MIDATLANTIC,NEITHER,NEITHER,4,1,Racial Resentment Treatment Group,0,3,3,Y,Y,N,N,X,N,MID,MID
WHITE,MALE,THIRTIES,MAST,REP,YES,CON,51k - 100k,NO,X,YES,NORTHEAST,S_SUPPORT,SUPPORT,3,0,Linked Fate Treatment Group,0,1,3,Y,Y,Y,Y,N,Y,MID,MID
MIXED,FEMALE,FORTIES,MAST,DEM,YES,LIB,51k - 100k,NO,X,NO,WESTCOAST,S_SUPPORT,NEITHER,0,7,Linked Fate Treatment Group,2,2,0,Y,N,N,N,N,N,HIGH,MID
HISP_LAT,MALE,TWENTIES,BACH,DEM,YES,MOD,51k - 100k,NO,X,NO,SOUTHEAST,OPPOSE,OPPOSE,-2,4,Retail Control Group,-2,-2,0,X,X,X,X,X,X,MID,HIGH
BLACK,MALE,TWENTIES,BACH,REP,YES,LIB,25k - 50k,NO,X,NO,SOUTHWEST,NEITHER,SUPPORT,4,4,Race Neutral Control Group,3,4,2,Y,Y,N,X,X,X,MID,MID
WHITE,FEMALE,THIRTIES,SOME_HS,REP,YES,CON,51k - 100k,NO,X,NO,MIDWEST,NEITHER,NEITHER,-4,-2,Race Neutral Control Group,-3,-4,-3,Y,Y,N,X,X,X,LOW,HIGH
WHITE,MALE,THIRTIES,BACH,IND,YES,LIB,51k - 100k,NO,X,NO,SOUTHEAST,SUPPORT,OPPOSE,0,5,Race Neutral Control Group,0,4,2,X,Y,N,X,X,X,MID,MID
ASIAN,FEMALE,TWENTIES,MAST,DEM,YES,LIB,25k - 50k,NO,X,NO,WESTCOAST,NEITHER,NEITHER,4,5,Racial Resentment Treatment Group,-3,4,3,N,N,N,N,Y,N,MID,MID
HISP_LAT,MALE,TWENTIES,BACH,DEM,YES,LIB,51k - 100k,NO,X,NO,WESTCOAST,S_SUPPORT,S_SUPPORT,6,5,Racial Resentment Treatment Group,2,4,3,N,N,N,N,Y,N,MID,LOW
WHITE,FEMALE,TWENTIES,HS_GED,DEM,YES,LIB,25k - 50k,NO,X,NO,WESTCOAST,NEITHER,NEITHER,6,4,Race Neutral Control Group,2,3,3,X,N,N,X,X,X,MID,LOW
WHITE,FEMALE,THIRTIES,SOME_COLL,IND,YES,LIB,0 - 24k,NO,X,YES,SOUTHWEST,S_SUPPORT,S_SUPPORT,5,4,Linked Fate Treatment Group,-3,3,2,Y,Y,Y,N,Y,N,MID,MID
WHITE,FEMALE,THIRTIES,BACH,DEM,YES,LIB,0 - 24k,NO,X,NO,NORTHWEST,S_SUPPORT,OPPOSE,4,6,Racial Resentment Treatment Group,1,4,2,Y,N,N,N,Y,N,HIGH,MID
WHITE,FEMALE,THIRTIES,BACH,DEM,YES,LIB,51k - 100k,YES,X,YES,NORTHEAST,SUPPORT,S_SUPPORT,3,2,Racial Resentment Treatment Group,3,-1,1,Y,Y,N,Y,N,X,MID,MID
WHITE,FEMALE,FIFTIES,BACH,IND,YES,LIB,51k - 100k,NO,X,NO,SOUTHEAST,NEITHER,NEITHER,0,5,Race Neutral Control Group,-3,3,1,X,Y,N,X,X,X,MID,MID
WHITE,MALE,THIRTIES,MAST,IND,YES,MOD,0 - 24k,NO,X,NO,WESTCOAST,NEITHER,NEITHER,4,0,Race Neutral Control Group,-3,0,-2,Y,X,N,X,X,X,MID,MID
WHITE,FEMALE,FIFTIES,BACH,IND,YES,LIB,25k - 50k,NO,X,NO,NORTHWEST,SUPPORT,OPPOSE,3,6,Retail Control Group,0,3,3,X,X,X,X,X,X,HIGH,MID
WHITE,FEMALE,FIFTIES,BACH,REP,YES,CON,51k - 100k,YES,X,NO,WESTCOAST,SUPPORT,NEITHER,-2,1,Linked Fate Treatment Group,-1,0,2,Y,Y,Y,Y,N,N,MID,HIGH
WHITE,MALE,FORTIES,MAST,DEM,YES,LIB,51k - 100k,NO,X,NO,SOUTHWEST,SUPPORT,SUPPORT,7,1,Race Neutral Control Group,-3,-2,3,Y,Y,N,X,X,X,MID,LOW
MIXED,MALE,TWENTIES,BACH,REP,YES,CON,51k - 100k,YES,X,NO,WESTCOAST,OPPOSE,OPPOSE,0,-2,Race Neutral Control Group,-1,-2,-2,Y,N,N,X,X,X,LOW,MID
WHITE,FEMALE,THIRTIES,HS_GED,DEM,YES,MOD,51k - 100k,NO,X,NO,NORTHEAST,NEITHER,NEITHER,-3,-1,Retail Control Group,-3,-3,-3,X,X,X,X,X,X,LOW,HIGH
WHITE,FEMALE,FIFTIES,BACH,IND,YES,MOD,51k - 100k,NO,X,NO,SOUTHWEST,NEITHER,NEITHER,-2,1,Race Neutral Control Group,-1,3,3,X,N,N,X,X,X,MID,HIGH
MIXED,FEMALE,TWENTIES,BACH,DEM,YES,LIB,25k - 50k,NO,X,YES,MIDWEST,NEITHER,NEITHER,3,7,Linked Fate Treatment Group,3,3,3,N,N,N,N,Y,N,HIGH,MID
WHITE,FEMALE,THIRTIES,MAST,DEM,YES,LIB,51k - 100k,YES,X,YES,MIDATLANTIC,S_SUPPORT,S_SUPPORT,5,4,Race Neutral Control Group,2,0,1,N,N,N,X,X,X,MID,MID
WHITE,FEMALE,THIRTIES,HS_GED,DEM,YES,LIB,25k - 50k,NO,X,NO,SOUTHEAST,NEITHER,NEITHER,-1,4,Linked Fate Treatment Group,-3,4,2,N,N,N,Y,N,N,MID,HIGH
WHITE,MALE,THIRTIES,HS_GED,IND,ND,MOD,0 - 24k,NO,X,NO,SOUTHEAST,NEITHER,NEITHER,0,2,Linked Fate Treatment Group,1,0,1,N,N,N,N,N,N,MID,MID
WHITE,FEMALE,TEENS,SOME_COLL,DEM,YES,LIB,51k - 100k,NO,X,NO,MIDWEST,SUPPORT,NEITHER,6,7,Linked Fate Treatment Group,1,4,1,Y,Y,N,N,N,N,HIGH,LOW
MIXED,MALE,TWENTIES,BACH,DEM,YES,MOD,0 - 24k,NO,X,NO,NORTHEAST,SUPPORT,NEITHER,4,5,Retail Control Group,-1,3,2,X,X,X,X,X,X,MID,MID
ASIAN,FEMALE,TWENTIES,SOME_COLL,IND,YES,LIB,51k - 100k,NO,X,NO,WESTCOAST,SUPPORT,SUPPORT,4,7,Race Neutral Control Group,0,2,3,X,X,N,X,X,X,HIGH,MID
WHITE,OTHER,THIRTIES,BACH,DEM,YES,LIB,0 - 24k,NO,X,NO,MIDATLANTIC,SUPPORT,S_OPPOSE,0,6,Retail Control Group,1,4,3,X,X,X,X,X,X,HIGH,MID
MIXED,MALE,THIRTIES,SOME_COLL,IND,YES,MOD,51k - 100k,NO,X,YES,SOUTHEAST,NEITHER,NEITHER,0,2,Racial Resentment Treatment Group,-2,0,2,X,X,X,X,X,X,MID,MID
ASIAN,FEMALE,TWENTIES,BACH,REP,YES,MOD,301k - 500k,NO,X,NO,SOUTHEAST,NEITHER,NEITHER,2,3,Retail Control Group,-1,2,1,X,X,X,X,X,X,MID,MID
WHITE,MALE,TWENTIES,SOME_COLL,DEM,YES,LIB,25k - 50k,NO,X,NO,MIDWEST,NEITHER,NEITHER,5,5,Retail Control Group,2,3,3,X,X,X,X,X,X,MID,MID
WHITE,MALE,THIRTIES,MAST,REP,YES,CON,51k - 100k,NO,X,NO,SOUTHEAST,SUPPORT,SUPPORT,4,2,Linked Fate Treatment Group,2,0,1,Y,N,N,Y,Y,N,MID,MID
ASIAN,FEMALE,TWENTIES,MAST,DEM,YES,LIB,25k - 50k,NO,X,NO,FOREIGN,S_SUPPORT,OPPOSE,4,5,Retail Control Group,1,4,2,X,X,X,X,X,X,MID,MID
BLACK,MALE,FORTIES,ASSOC,DEM,YES,MOD,25k - 50k,NO,X,NO,WESTCOAST,S_SUPPORT,S_OPPOSE,6,7,Retail Control Group,-1,4,-1,X,X,X,X,X,X,HIGH,LOW
WHITE,FEMALE,FIFTIES,HS_GED,IND,NO,MOD,0 - 24k,NO,X,NO,MIDWEST,S_SUPPORT,S_SUPPORT,6,-1,Linked Fate Treatment Group,3,4,3,N,N,N,Y,Y,N,LOW,LOW
WHITE,FEMALE,THIRTIES,BACH,REP,YES,CON,301k - 500k,NO,X,YES,SOUTHEAST,SUPPORT,NEITHER,2,-2,Retail Control Group,2,1,-1,X,X,X,X,X,X,LOW,MID
WHITE,FEMALE,TEENS,SOME_COLL,DEM,YES,LIB,0 - 24k,NO,X,NO,SOUTHWEST,SUPPORT,NEITHER,6,7,Linked Fate Treatment Group,0,4,3,Y,Y,Y,Y,N,N,HIGH,LOW
HISP_LAT,MALE,TWENTIES,BACH,DEM,YES,LIB,51k - 100k,NO,X,NO,WESTCOAST,NEITHER,NEITHER,0,5,Racial Resentment Treatment Group,-1,2,1,Y,Y,N,N,Y,N,MID,MID
WHITE,MALE,FORTIES,BACH,REP,YES,CON,51k - 100k,NO,X,NO,MIDWEST,SUPPORT,SUPPORT,0,2,Retail Control Group,-3,-1,3,X,X,X,X,X,X,MID,MID
BLACK,MALE,THIRTIES,MAST,REP,YES,CON,301k - 500k,YES,X,YES,WESTCOAST,S_SUPPORT,S_SUPPORT,7,0,Racial Resentment Treatment Group,3,0,3,N,Y,N,N,N,Y,MID,LOW
ASIAN,MALE,TWENTIES,BACH,DEM,YES,MOD,301k - 500k,NO,X,NO,MIDATLANTIC,NEITHER,NEITHER,0,2,Retail Control Group,-3,2,3,X,X,X,X,X,X,MID,MID
BLACK,MALE,TWENTIES,ASSOC,DEM,YES,LIB,25k - 50k,NO,X,NO,MIDATLANTIC,S_SUPPORT,S_OPPOSE,0,7,Linked Fate Treatment Group,0,4,3,Y,N,N,N,Y,N,HIGH,MID
ASIAN,MALE,TWENTIES,BACH,DEM,YES,LIB,51k - 100k,NO,X,NO,WESTCOAST,OPPOSE,OPPOSE,2,7,Retail Control Group,2,3,3,X,X,X,X,X,X,HIGH,MID
ASIAN,FEMALE,FORTIES,BACH,DEM,YES,LIB,51k - 100k,NO,X,NO,NORTHWEST,NEITHER,NEITHER,-1,3,Linked Fate Treatment Group,-3,4,3,Y,Y,N,Y,N,N,MID,HIGH
HISP_LAT,MALE,THIRTIES,BACH,IND,YES,LIB,25k - 50k,NO,X,NO,WESTCOAST,NEITHER,NEITHER,0,2,Racial Resentment Treatment Group,1,4,-2,Y,Y,N,N,Y,N,MID,MID
ASIAN,MALE,TWENTIES,ASSOC,IND,YES,MOD,51k - 100k,NO,X,NO,WESTCOAST,NEITHER,NEITHER,-2,-2,Linked Fate Treatment Group,-1,1,0,N,N,N,N,Y,N,LOW,HIGH
WHITE,MALE,THIRTIES,HS_GED,DEM,YES,LIB,25k - 50k,NO,X,NO,SOUTHWEST,SUPPORT,SUPPORT,-2,2,Racial Resentment Treatment Group,0,0,2,N,N,N,N,Y,N,MID,HIGH
WHITE,MALE,TWENTIES,SOME_COLL,DEM,YES,LIB,25k - 50k,NO,X,NO,WESTCOAST,NEITHER,OPPOSE,6,6,Racial Resentment Treatment Group,3,4,3,Y,N,N,N,Y,N,HIGH,LOW
WHITE,MALE,FORTIES,MAST,IND,YES,MOD,51k - 100k,NO,X,NO,SOUTHEAST,NEITHER,NEITHER,-1,-1,Linked Fate Treatment Group,-1,2,1,Y,Y,Y,Y,N,N,LOW,HIGH
WHITE,MALE,TWENTIES,SOME_COLL,DEM,YES,LIB,51k - 100k,NO,X,YES,NORTHWEST,SUPPORT,NEITHER,0,6,Racial Resentment Treatment Group,3,4,3,N,N,N,N,Y,N,HIGH,MID
ASIAN,MALE,TWENTIES,BACH,IND,YES,MOD,51k - 100k,NO,X,NO,WESTCOAST,NEITHER,NEITHER,0,0,Retail Control Group,-3,0,2,X,X,X,X,X,X,MID,MID
WHITE,MALE,TWENTIES,SOME_COLL,IND,YES,MOD,51k - 100k,NO,X,NO,SOUTHEAST,NEITHER,NEITHER,0,6,Race Neutral Control Group,0,3,2,Y,Y,N,X,X,X,HIGH,MID
ASIAN,FEMALE,TWENTIES,SOME_COLL,DEM,YES,LIB,51k - 100k,NO,X,NO,MIDWEST,NEITHER,NEITHER,5,7,Linked Fate Treatment Group,2,4,3,Y,N,N,Y,N,N,HIGH,MID
ASIAN,FEMALE,TWENTIES,BACH,REP,YES,CON,51k - 100k,NO,X,NO,WESTCOAST,NEITHER,NEITHER,5,3,Racial Resentment Treatment Group,0,1,2,Y,Y,Y,Y,N,N,MID,MID
HISP_LAT,OTHER,TEENS,SOME_COLL,DEM,YES,LIB,25k - 50k,NO,X,NO,MIDATLANTIC,S_SUPPORT,OPPOSE,6,7,Race Neutral Control Group,3,4,3,X,X,N,X,X,X,HIGH,LOW
BLACK,MALE,THIRTIES,MAST,DEM,YES,LIB,51k - 100k,YES,X,YES,NORTHEAST,SUPPORT,NEITHER,8,3,Retail Control Group,3,3,0,X,X,X,X,X,X,MID,LOW
WHITE,FEMALE,FORTIES,PROF,DEM,YES,MOD,51k - 100k,YES,X,YES,NORTHEAST,S_SUPPORT,SUPPORT,6,-2,Race Neutral Control Group,1,1,0,Y,Y,N,X,X,X,LOW,LOW
WHITE,X,FORTIES,ASSOC,DEM,YES,LIB,0 - 24k,NO,X,NO,WESTCOAST,NEITHER,NEITHER,1,2,Linked Fate Treatment Group,-1,0,1,Y,Y,Y,Y,N,N,MID,MID
ASIAN,FEMALE,TWENTIES,ASSOC,DEM,YES,MOD,0 - 24k,NO,X,NO,WESTCOAST,SUPPORT,SUPPORT,3,1,Race Neutral Control Group,-1,2,-1,N,N,N,X,X,X,MID,MID
WHITE,MALE,FORTIES,BACH,DEM,YES,LIB,51k - 100k,NO,X,NO,SOUTHWEST,SUPPORT,S_OPPOSE,-1,0,Race Neutral Control Group,-1,4,1,N,N,N,X,X,X,MID,HIGH
WHITE,MALE,FORTIES,MAST,DEM,YES,MOD,51k - 100k,NO,X,NO,NORTHEAST,SUPPORT,NEITHER,5,4,Racial Resentment Treatment Group,-3,0,1,Y,N,N,Y,N,N,MID,MID
WHITE,MALE,TWENTIES,ASSOC,DEM,YES,LIB,0 - 24k,NO,X,NO,SOUTHEAST,NEITHER,NEITHER,4,3,Linked Fate Treatment Group,-3,4,3,N,N,N,Y,Y,N,MID,MID
WHITE,FEMALE,TWENTIES,SOME_COLL,DEM,YES,LIB,51k - 100k,NO,X,NO,SOUTHEAST,NEITHER,NEITHER,4,6,Linked Fate Treatment Group,-1,4,3,Y,N,N,N,N,N,HIGH,MID
WHITE,FEMALE,THIRTIES,HS_GED,IND,YES,LIB,0 - 24k,NO,X,NO,MIDWEST,S_SUPPORT,SUPPORT,4,2,Race Neutral Control Group,-3,3,3,X,N,N,X,X,X,MID,MID
WHITE,FEMALE,THIRTIES,BACH,DEM,YES,LIB,25k - 50k,NO,X,NO,MIDWEST,S_SUPPORT,SUPPORT,5,2,Racial Resentment Treatment Group,-1,4,3,N,N,N,N,N,N,MID,MID
BLACK,MALE,TWENTIES,BACH,DEM,YES,LIB,0 - 24k,NO,X,NO,SOUTHEAST,NEITHER,NEITHER,6,6,Linked Fate Treatment Group,1,4,3,Y,Y,N,Y,Y,Y,HIGH,LOW
ASIAN,FEMALE,FORTIES,BACH,REP,YES,CON,51k - 100k,NO,X,NO,WESTCOAST,SUPPORT,SUPPORT,4,4,Racial Resentment Treatment Group,1,4,2,N,N,N,N,Y,N,MID,MID
WHITE,MALE,SIXTIES,HS_GED,REP,YES,CON,25k - 50k,NO,X,NO,SOUTHEAST,SUPPORT,NEITHER,6,2,Linked Fate Treatment Group,0,-1,1,Y,Y,Y,Y,N,Y,MID,LOW
WHITE,FEMALE,TWENTIES,SOME_COLL,DEM,YES,LIB,500k+,NO,X,NO,MIDWEST,NEITHER,NEITHER,4,5,Racial Resentment Treatment Group,2,4,3,Y,Y,N,Y,Y,N,MID,MID
WHITE,FEMALE,FIFTIES,MAST,DEM,YES,LIB,51k - 100k,NO,X,NO,WESTCOAST,SUPPORT,SUPPORT,4,-1,Race Neutral Control Group,1,1,3,Y,Y,N,X,X,X,LOW,MID
WHITE,MALE,THIRTIES,SOME_HS,IND,ND,MOD,0 - 24k,NO,X,NO,SOUTHEAST,NEITHER,NEITHER,1,4,Race Neutral Control Group,-3,4,3,X,Y,N,X,X,X,MID,MID
ASIAN,FEMALE,SEVENTIES,BACH,DEM,YES,CON,51k - 100k,NO,X,NO,WESTCOAST,NEITHER,OPPOSE,4,5,Retail Control Group,-2,1,3,X,X,X,X,X,X,MID,MID
ASIAN,FEMALE,TWENTIES,BACH,DEM,YES,LIB,25k - 50k,NO,X,NO,WESTCOAST,NEITHER,NEITHER,6,6,Linked Fate Treatment Group,0,3,3,Y,Y,Y,Y,N,N,HIGH,LOW
ASIAN,MALE,TWENTIES,BACH,REP,YES,CON,301k - 500k,NO,X,NO,SOUTHWEST,SUPPORT,SUPPORT,1,2,Racial Resentment Treatment Group,-2,0,2,Y,Y,Y,Y,N,Y,MID,MID
WHITE,MALE,THIRTIES,MAST,REP,YES,MOD,301k - 500k,NO,X,NO,WESTCOAST,SUPPORT,SUPPORT,-3,2,Retail Control Group,0,-3,-1,X,X,X,X,X,X,MID,HIGH
WHITE,MALE,THIRTIES,MAST,DEM,YES,MOD,51k - 100k,NO,X,NO,WESTCOAST,NEITHER,NEITHER,3,3,Retail Control Group,0,-1,0,X,X,X,X,X,X,MID,MID
WHITE,MALE,TWENTIES,BACH,DEM,YES,LIB,301k - 500k,NO,X,NO,WESTCOAST,NEITHER,OPPOSE,4,6,Retail Control Group,1,4,3,X,X,X,X,X,X,HIGH,MID
MIXED,OTHER,THIRTIES,BACH,DEM,YES,LIB,25k - 50k,NO,X,NO,WESTCOAST,NEITHER,NEITHER,6,7,Linked Fate Treatment Group,3,4,3,Y,Y,Y,Y,Y,N,HIGH,LOW
WHITE,MALE,THIRTIES,BACH,REP,YES,CON,51k - 100k,NO,X,NO,SOUTHEAST,SUPPORT,SUPPORT,5,3,Race Neutral Control Group,1,1,-1,N,N,N,X,X,X,MID,MID
ASIAN,MALE,THIRTIES,MAST,IND,YES,LIB,51k - 100k,NO,X,NO,NORTHEAST,NEITHER,NEITHER,6,7,Retail Control Group,2,3,3,X,X,X,X,X,X,HIGH,LOW
HISP_LAT,MALE,FIFTIES,BACH,IND,YES,MOD,51k - 100k,NO,X,NO,WESTCOAST,NEITHER,NEITHER,-1,2,Race Neutral Control Group,-2,1,2,X,Y,N,X,X,X,MID,HIGH
WHITE,MALE,THIRTIES,ASSOC,DEM,YES,LIB,25k - 50k,NO,X,NO,SOUTHEAST,S_SUPPORT,NEITHER,3,4,Racial Resentment Treatment Group,3,3,2,Y,Y,N,Y,N,N,MID,MID
